_id,host_id,host_url,host_name,host_location,host_response_time,host_thumbnail_url,host_picture_url,host_neighbourhood,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,host_verifications
12120988,31130448,https://www.airbnb.com/users/show/31130448,Soner,Istanbul,,https://a0.muscache.com/im/pictures/1beeb4e6-293d-4c21-a1a7-02384df96d0f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/1beeb4e6-293d-4c21-a1a7-02384df96d0f.jpg?aki_policy=profile_x_medium,,,False,True,False,1,1,"['email', 'phone']"
12135865,42947939,https://www.airbnb.com/users/show/42947939,Chris,"Honolulu, Hawaii, United States",within an hour,https://a0.muscache.com/im/pictures/278fbe3e-37f5-4cc5-9325-ecb849bfc024.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/278fbe3e-37f5-4cc5-9325-ecb849bfc024.jpg?aki_policy=profile_x_medium,Waikiki,100.0,False,True,False,35,35,"['email', 'phone', 'reviews']"
12136725,42947939,https://www.airbnb.com/users/show/42947939,Chris,"Honolulu, Hawaii, United States",within an hour,https://a0.muscache.com/im/pictures/278fbe3e-37f5-4cc5-9325-ecb849bfc024.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/278fbe3e-37f5-4cc5-9325-ecb849bfc024.jpg?aki_policy=profile_x_medium,Waikiki,100.0,False,True,False,35,35,"['email', 'phone', 'reviews']"
12137640,7892168,https://www.airbnb.com/users/show/7892168,Marie-Amelie,"Montreal, Québec, Canada",,https://a0.muscache.com/im/users/7892168/profile_pic/1375484951/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7892168/profile_pic/1375484951/original.jpg?aki_policy=profile_x_medium,Downtown Montreal,,False,True,True,1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']"
12139024,10638375,https://www.airbnb.com/users/show/10638375,Aziz,TR,,https://a0.muscache.com/im/pictures/03e9d58c-25a0-4f6f-9c7b-284d4b9f65e5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/03e9d58c-25a0-4f6f-9c7b-284d4b9f65e5.jpg?aki_policy=profile_x_medium,,,False,True,False,1,1,"['email', 'phone']"
12142163,65171414,https://www.airbnb.com/users/show/65171414,Yeşim Evrensel,"Istanbul, İstanbul, Turkey",,https://a0.muscache.com/im/pictures/b57b7573-45bd-4614-b4f7-c7de7fe0485b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/b57b7573-45bd-4614-b4f7-c7de7fe0485b.jpg?aki_policy=profile_x_medium,Sultanahmet,,False,True,False,2,2,"['email', 'phone', 'work_email']"
1215049,5940318,https://www.airbnb.com/users/show/5940318,Elisabet,"Barcelona, Catalonia, Spain",within an hour,https://a0.muscache.com/im/users/5940318/profile_pic/1368781897/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5940318/profile_pic/1368781897/original.jpg?aki_policy=profile_x_medium,La Sagrada Família,100.0,False,True,False,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']"
1215226,6555247,https://www.airbnb.com/users/show/6555247,Raven,"Istanbul, Istanbul, Turkey",within a few hours,https://a0.muscache.com/im/pictures/10e4a2d0-73b2-4bd5-9616-b4d2a2edebce.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/10e4a2d0-73b2-4bd5-9616-b4d2a2edebce.jpg?aki_policy=profile_x_medium,Taksim,100.0,False,True,False,6,6,"['email', 'phone', 'reviews']"
12156307,65157445,https://www.airbnb.com/users/show/65157445,Mary Kay,"Waimea, Hawaii, United States",within a day,https://a0.muscache.com/im/pictures/771ef137-801b-4cb3-bf2f-67daee9c6e93.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/771ef137-801b-4cb3-bf2f-67daee9c6e93.jpg?aki_policy=profile_x_medium,,100.0,False,True,False,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']"
12157453,13200680,https://www.airbnb.com/users/show/13200680,Dimas,"Turlock, California, United States",within a day,https://a0.muscache.com/im/users/13200680/profile_pic/1395012209/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/13200680/profile_pic/1395012209/original.jpg?aki_policy=profile_x_medium,,50.0,False,True,False,2,2,"['email', 'phone', 'facebook', 'reviews', 'work_email']"
12181533,65451439,https://www.airbnb.com/users/show/65451439,Elnio,"Rio de Janeiro, State of Rio de Janeiro, Brazil",,https://a0.muscache.com/im/pictures/549f3282-6bc8-440f-9398-5efdcd9ddd4d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/549f3282-6bc8-440f-9398-5efdcd9ddd4d.jpg?aki_policy=profile_x_medium,Barra da Tijuca,,False,True,True,1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']"
12183522,65472552,https://www.airbnb.com/users/show/65472552,Marje,"Hong Kong Island, Hong Kong",within an hour,https://a0.muscache.com/im/pictures/1df7e857-25d1-46f7-9185-1c144d1f4cfb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/1df7e857-25d1-46f7-9185-1c144d1f4cfb.jpg?aki_policy=profile_x_medium,Happy Valley,100.0,True,True,False,2,2,"['email', 'phone', 'reviews']"
